shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHAPE_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f,-16.51822,-68.14989,1
SHAPE_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f,-16.51547,-68.1441,2
SHAPE_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f,-16.51454,-68.13048,3
SHAPE_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f,-16.51871,-68.11611,4
SHAPE_3d54b87a-3ede-5283-9cc6-da40c47a4508,-16.51871,-68.11611,1
SHAPE_3d54b87a-3ede-5283-9cc6-da40c47a4508,-16.51454,-68.13048,2
SHAPE_3d54b87a-3ede-5283-9cc6-da40c47a4508,-16.51547,-68.1441,3
SHAPE_3d54b87a-3ede-5283-9cc6-da40c47a4508,-16.51822,-68.14989,4
SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0,-16.49003,-68.20957,1
SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0,-16.4895,-68.19307,2
SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0,-16.49227,-68.18308,3
SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0,-16.49481,-68.17349,4
SHAPE_3d963aec-7d33-5da5-9db3-c59acca89aa0,-16.49805,-68.16471,5
SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364,-16.49805,-68.16471,1
SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364,-16.49481,-68.17349,2
SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364,-16.49227,-68.18308,3
SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364,-16.4895,-68.19307,4
SHAPE_0d1de736-29d4-589e-a172-c58cb4aee364,-16.49003,-68.20957,5
SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a,-16.48469,-68.12194,1
SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a,-16.49373,-68.12107,2
SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a,-16.50411,-68.12085,3
SHAPE_a9a7c8fb-17f2-52b7-8782-b8bb939cf05a,-16.5112,-68.1203,4
SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583,-16.5112,-68.1203,1
SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583,-16.50411,-68.12085,2
SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583,-16.49373,-68.12107,3
SHAPE_511e5b1b-e6a2-52f6-9c65-c8588299f583,-16.48469,-68.12194,4
SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202,-16.49373,-68.12107,1
SHAPE_84c89a53-1f66-5dd2-94d5-25c2e3eee202,-16.49761,-68.1151,2
SHAPE_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4,-16.49761,-68.1151,1
SHAPE_56dde7c5-2a33-54eb-88aa-ed9759d5c8a4,-16.49373,-68.12107,2
SHAPE_655f2036-1f06-54d0-98b2-d0c9f5ac741c,-16.50042,-68.13272,1
SHAPE_655f2036-1f06-54d0-98b2-d0c9f5ac741c,-16.50411,-68.12615,2
SHAPE_655f2036-1f06-54d0-98b2-d0c9f5ac741c,-16.5112,-68.1203,3
SHAPE_655f2036-1f06-54d0-98b2-d0c9f5ac741c,-16.51871,-68.11611,4
SHAPE_2ec8342e-c96f-5948-887f-a44d5c39f6d9,-16.51871,-68.11611,1
SHAPE_2ec8342e-c96f-5948-887f-a44d5c39f6d9,-16.5112,-68.1203,2
SHAPE_2ec8342e-c96f-5948-887f-a44d5c39f6d9,-16.50411,-68.12615,3
SHAPE_2ec8342e-c96f-5948-887f-a44d5c39f6d9,-16.50042,-68.13272,4
SHAPE_421df8e1-b216-5717-a2da-5ae4d5ab9b22,-16.52256,-68.16956,1
SHAPE_421df8e1-b216-5717-a2da-5ae4d5ab9b22,-16.51225,-68.15366,2
SHAPE_421df8e1-b216-5717-a2da-5ae4d5ab9b22,-16.50002,-68.13515,3
SHAPE_8547c54e-f139-5107-a850-9f241c6902e6,-16.50002,-68.13515,1
SHAPE_8547c54e-f139-5107-a850-9f241c6902e6,-16.51225,-68.15366,2
SHAPE_8547c54e-f139-5107-a850-9f241c6902e6,-16.52256,-68.16956,3
