trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_4c5add09-53af-4a39-8c8c-4aaf1757d029,00:00:00,00:00:00,STOP_TELEFERICO_MIRADOR,1,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_4c5add09-53af-4a39-8c8c-4aaf1757d029,00:04:00,00:04:00,STOP_TELEFERICO_BUENOS_AIRES,2,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_4c5add09-53af-4a39-8c8c-4aaf1757d029,00:10:15,00:10:15,STOP_TELEFERICO_SOPOCACHI,3,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_4c5add09-53af-4a39-8c8c-4aaf1757d029,00:16:52,00:16:52,STOP_TELEFERICO_LIBERTADOR,4,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_b65b58ee-ce8c-448f-9769-b000c15e5dea,00:00:00,00:00:00,STOP_TELEFERICO_MIRADOR,1,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_b65b58ee-ce8c-448f-9769-b000c15e5dea,00:04:00,00:04:00,STOP_TELEFERICO_BUENOS_AIRES,2,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_b65b58ee-ce8c-448f-9769-b000c15e5dea,00:10:15,00:10:15,STOP_TELEFERICO_SOPOCACHI,3,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_b65b58ee-ce8c-448f-9769-b000c15e5dea,00:16:52,00:16:52,STOP_TELEFERICO_LIBERTADOR,4,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_7d14072c-11f6-42f0-95be-7e5649a16e12,00:00:00,00:00:00,STOP_TELEFERICO_MIRADOR,1,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_7d14072c-11f6-42f0-95be-7e5649a16e12,00:04:00,00:04:00,STOP_TELEFERICO_BUENOS_AIRES,2,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_7d14072c-11f6-42f0-95be-7e5649a16e12,00:10:15,00:10:15,STOP_TELEFERICO_SOPOCACHI,3,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_7d14072c-11f6-42f0-95be-7e5649a16e12,00:16:52,00:16:52,STOP_TELEFERICO_LIBERTADOR,4,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_516c3a83-f3e6-447e-b0c8-2c5bca798ab4,00:00:00,00:00:00,STOP_TELEFERICO_MIRADOR,1,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_516c3a83-f3e6-447e-b0c8-2c5bca798ab4,00:04:00,00:04:00,STOP_TELEFERICO_BUENOS_AIRES,2,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_516c3a83-f3e6-447e-b0c8-2c5bca798ab4,00:10:15,00:10:15,STOP_TELEFERICO_SOPOCACHI,3,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_516c3a83-f3e6-447e-b0c8-2c5bca798ab4,00:16:52,00:16:52,STOP_TELEFERICO_LIBERTADOR,4,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_5c84293f-ca2c-422c-8b23-42dc49dfa542,00:00:00,00:00:00,STOP_TELEFERICO_MIRADOR,1,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_5c84293f-ca2c-422c-8b23-42dc49dfa542,00:04:00,00:04:00,STOP_TELEFERICO_BUENOS_AIRES,2,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_5c84293f-ca2c-422c-8b23-42dc49dfa542,00:10:15,00:10:15,STOP_TELEFERICO_SOPOCACHI,3,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_5c84293f-ca2c-422c-8b23-42dc49dfa542,00:16:52,00:16:52,STOP_TELEFERICO_LIBERTADOR,4,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_51fcd71c-37d8-4be6-9259-04f4c60b2026,00:00:00,00:00:00,STOP_TELEFERICO_MIRADOR,1,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_51fcd71c-37d8-4be6-9259-04f4c60b2026,00:04:00,00:04:00,STOP_TELEFERICO_BUENOS_AIRES,2,1
TRIP_16bbc965-4db9-5f92-ba6e-90ca4d7e0c7f_51fcd71c-37d8-4be6-9259-04f4c60b2026,00:10:15,00:10:15,STOP_TELEFERICO_SOPOCACHI,3,1
